0.9164835164835164,.
1474.png,1
1039.png,1
4512.png,1
61.png,1
2794.png,1
2519.png,1
1315.png,1
232.png,1
31.png,-1
376.png,1
4048.png,1
974.png,1
344.png,1
3216.png,1
604.png,1
2409.png,1
518.png,1
3401.png,1
3214.png,1
1232.png,1
2768.png,1
2780.png,1
1985.png,1
848.png,1
3352.png,-1
3966.png,1
4772.png,1
2057.png,1
4876.png,1
4373.png,1
4638.png,1
3469.png,1
2179.png,1
72.png,-1
1296.png,1
4839.png,1
3470.png,1
1923.png,1
4775.png,1
3329.png,1
2236.png,1
478.png,1
3484.png,1
4660.png,1
4747.png,-1
4111.png,1
1457.png,1
1002.png,1
1829.png,1
2839.png,1
1322.png,1
4753.png,1
480.png,1
4162.png,1
993.png,-1
2437.png,1
1876.png,1
4089.png,1
3023.png,-1
4156.png,1
1686.png,1
1384.png,-1
3531.png,-1
4062.png,-1
547.png,1
958.png,1
4292.png,1
1595.png,-1
183.png,1
1317.png,1
3706.png,1
2838.png,1
1850.png,1
402.png,1
4790.png,1
63.png,1
3571.png,1
573.png,1
745.png,1
3523.png,1
433.png,1
356.png,1
2259.png,1
4590.png,1
1819.png,1
4104.png,1
2875.png,1
1449.png,1
1302.png,-1
3085.png,1
3263.png,1
3220.png,-1
3013.png,-1
2282.png,1
1324.png,1
979.png,1
2677.png,-1
4722.png,1
949.png,1
835.png,-1
2690.png,1
3935.png,1
3570.png,1
513.png,-1
1471.png,1
4588.png,1
2157.png,1
613.png,-1
3914.png,1
4615.png,1
1110.png,1
2940.png,1
2532.png,1
3820.png,-1
1863.png,1
2009.png,1
4238.png,1
146.png,1
3223.png,1
551.png,1
475.png,1
3456.png,-1
2142.png,1
4041.png,1
2939.png,-1
2178.png,1
2334.png,1
2872.png,1
2944.png,1
1765.png,1
3611.png,1
1560.png,-1
2756.png,1
4998.png,1
4792.png,1
1020.png,1
4084.png,1
2075.png,1
2233.png,1
2965.png,1
1078.png,-1
2639.png,1
4447.png,-1
761.png,1
3645.png,1
3747.png,1
4215.png,1
1745.png,1
3109.png,1
